epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,2354.23,0.03955,0.05026,0.13629,0.79096,0.98492,0.98488,0.99337,0.96784,0.98492,0.98488,0.99337,0.95594,0.05119,0.07235,0.1854,0.81541,0.000740286,0.000740286,0.000740286
103,2377.25,0.03915,0.0502,0.13653,0.78919,0.9821,0.99136,0.99265,0.96691,0.9821,0.99136,0.99265,0.95781,0.05157,0.07291,0.18221,0.81405,0.000737714,0.000737714,0.000737714
104,2400.16,0.03909,0.04947,0.13621,0.78616,0.97946,0.99283,0.992,0.96654,0.97946,0.99283,0.992,0.95556,0.0522,0.07231,0.18216,0.82011,0.000735143,0.000735143,0.000735143
105,2423.13,0.03912,0.04969,0.13846,0.79079,0.98526,0.98673,0.99294,0.96837,0.98526,0.98673,0.99294,0.95689,0.05139,0.07012,0.17664,0.81244,0.000732571,0.000732571,0.000732571
106,2446.03,0.0399,0.04996,0.13893,0.79043,0.98642,0.98817,0.99257,0.96694,0.98642,0.98817,0.99257,0.95537,0.05153,0.07295,0.17686,0.81492,0.00073,0.00073,0.00073
107,2469.02,0.03881,0.05033,0.1355,0.78964,0.98673,0.98621,0.9927,0.96677,0.98673,0.98621,0.9927,0.95339,0.05042,0.07115,0.18213,0.81224,0.000727429,0.000727429,0.000727429
108,2491.97,0.03887,0.04901,0.13348,0.78735,0.97963,0.99254,0.9927,0.96916,0.97963,0.99254,0.9927,0.95659,0.05055,0.07174,0.17747,0.81551,0.000724857,0.000724857,0.000724857
109,2514.95,0.03923,0.04893,0.13493,0.78868,0.98454,0.98838,0.99225,0.96882,0.98454,0.98838,0.99225,0.95607,0.05061,0.06845,0.18111,0.81178,0.000722286,0.000722286,0.000722286
110,2537.87,0.03863,0.04911,0.13288,0.78876,0.98432,0.98437,0.99264,0.96895,0.98432,0.98437,0.99264,0.95774,0.0503,0.07132,0.18534,0.81057,0.000719714,0.000719714,0.000719714
111,2560.99,0.03841,0.04939,0.13341,0.78701,0.98422,0.98592,0.99231,0.96845,0.98422,0.98592,0.99231,0.95655,0.05021,0.07021,0.1793,0.81482,0.000717143,0.000717143,0.000717143
112,2583.89,0.03886,0.04925,0.1341,0.79009,0.98398,0.98855,0.99343,0.9669,0.98398,0.98855,0.99343,0.95748,0.05204,0.07078,0.18642,0.81718,0.000714571,0.000714571,0.000714571
113,2606.86,0.03841,0.04908,0.13356,0.78915,0.97887,0.98966,0.99275,0.9681,0.97887,0.98966,0.99275,0.95613,0.05045,0.07041,0.1756,0.81934,0.000712,0.000712,0.000712
114,2629.79,0.03781,0.04897,0.13308,0.78844,0.98447,0.98147,0.99313,0.96834,0.98447,0.98147,0.99313,0.9582,0.05155,0.0694,0.18434,0.81909,0.000709429,0.000709429,0.000709429
115,2652.77,0.03827,0.04991,0.13236,0.79496,0.98367,0.98848,0.99191,0.96532,0.98367,0.98848,0.99191,0.95507,0.05355,0.07005,0.17736,0.82625,0.000706857,0.000706857,0.000706857
116,2675.68,0.03822,0.04873,0.13045,0.78541,0.98436,0.98666,0.99341,0.96831,0.98436,0.98666,0.99341,0.95843,0.0539,0.07201,0.17698,0.82719,0.000704286,0.000704286,0.000704286
117,2698.85,0.03813,0.04829,0.13389,0.7865,0.98864,0.98261,0.99339,0.96825,0.98864,0.98261,0.99339,0.95727,0.05056,0.07075,0.18311,0.81695,0.000701714,0.000701714,0.000701714
118,2721.74,0.03808,0.04929,0.13446,0.78785,0.9803,0.99424,0.99316,0.96779,0.9803,0.99424,0.99316,0.95539,0.0519,0.07018,0.18414,0.8212,0.000699143,0.000699143,0.000699143
119,2744.66,0.0384,0.04885,0.13494,0.78754,0.98016,0.9927,0.99334,0.96751,0.98016,0.9927,0.99334,0.95557,0.05259,0.07471,0.18661,0.83151,0.000696571,0.000696571,0.000696571
120,2767.63,0.03855,0.04841,0.13415,0.78684,0.98648,0.98857,0.99282,0.96696,0.98648,0.98857,0.99282,0.95616,0.05227,0.07116,0.18548,0.83069,0.000694,0.000694,0.000694
121,2790.65,0.03791,0.04828,0.13316,0.78916,0.98503,0.98966,0.99251,0.96773,0.98503,0.98966,0.99251,0.95779,0.05148,0.07226,0.17856,0.82401,0.000691429,0.000691429,0.000691429
122,2813.62,0.03811,0.04843,0.13182,0.78662,0.98777,0.98533,0.99311,0.96569,0.98777,0.98533,0.99311,0.95393,0.05342,0.07324,0.18169,0.8281,0.000688857,0.000688857,0.000688857
123,2836.64,0.03829,0.04854,0.13167,0.78698,0.98098,0.99413,0.99264,0.96657,0.98098,0.99413,0.99264,0.95838,0.05225,0.07175,0.18074,0.82187,0.000686286,0.000686286,0.000686286
124,2859.59,0.03806,0.0487,0.13173,0.78727,0.98211,0.99134,0.99287,0.96521,0.98211,0.99134,0.99287,0.95777,0.05458,0.07343,0.1814,0.82831,0.000683714,0.000683714,0.000683714
